contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,169000300002,GOURMET SPICY #20,MAX PAIN AND FRENS,ipfs://QmaAdY7ktuRiY8VQCw1CFfQPrZcs8YbwQssR9ye4VULRsm,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #21,MAX PAIN AND FRENS,ipfs://Qmb5VrFLPcWJY9j8a9kVpRura1G4Z172CxeT4h53LMbSEn,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #22,MAX PAIN AND FRENS,ipfs://QmaZMdW8ofehxBS4UjMCf4HvVMKDb3eBG4wPw13yCuVuqw,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #23,MAX PAIN AND FRENS,ipfs://QmX1kenZKCbaFkGrDGo4Zpp2pmmAYkB84G6KNvfiVk7Nid,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,169000300002,GOURMET SPICY #24,MAX PAIN AND FRENS,ipfs://QmYBTrZy8r3foxPZShwHihTL4JFKEh2PC9Jy4Do1mijt1z,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100001,MAX PAIN #1,MAX PAIN AND FRENS,ipfs://QmdUZLQrscgurjtzwXZjz5juHm1poMe4JAiWvTrS9oUqFi,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100002,MAX PAIN #2,MAX PAIN AND FRENS,ipfs://QmVfoWe9M58xUvZv5aCmB5cN5gdKsMFfMoLyUZmhQgft17,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100003,MAX PAIN #3,MAX PAIN AND FRENS,ipfs://QmaiRS4oWRnUruBhqbtTCM8aPwxo7fwUEiMLs8Wc3V4NU6,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100004,MAX PAIN #4,MAX PAIN AND FRENS,ipfs://QmXeBCFqar1yirL5RwHJveehVNht2mNvkfwYNPnuiDG7GX,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100005,MAX PAIN #5,MAX PAIN AND FRENS,ipfs://QmWkuHy1hFBZtxfj3yquj42UcHEdkwBoG3n8F1qdfREESd,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100006,MAX PAIN #6,MAX PAIN AND FRENS,ipfs://QmWRYWDF8dCxky6UHzKy7cujESMxNBqJV94Ao2jMmH3LAf,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100007,MAX PAIN #7,MAX PAIN AND FRENS,ipfs://QmdnUTjgfhXCHkJjVjCvav9GFJQLsSjEVbTWKuZQ2UbEpj,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100008,MAX PAIN #8,MAX PAIN AND FRENS,ipfs://QmVE8UfEK4rz4jQvmdp5qnfoJtfC1rAughmsSewttqXnNi,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100009,MAX PAIN #9,MAX PAIN AND FRENS,ipfs://QmPx6PSabuk2TjZhb6Mm2HVULjHr11Uf2s8eKDsfDTUXTn,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100010,MAX PAIN #10,MAX PAIN AND FRENS,ipfs://QmVwfYBg3QhFi2HhHCJ64Dz92GGZq66ERzcSyWH26NXTC4,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
,171000100011,MAX PAIN #11,MAX PAIN AND FRENS,ipfs://QmcZKjFNaK1yDUBWhEC4WYGAkRXDyPeaYzdesHDimznXDh,ipfs://QmRKpE3CsjBQjq8MUrDgDnAn3TaXsbNQypUq2TtmHgrPTb,
