contract_address,token_id,name,collection,image_url,metadata_url,opensea_url
,83,Flooky,Grifters,ipfs://QmcbZbgLtPCQk5LGGmfipxiCn7EVLGyuCKnf6tGGnXXnaR,ipfs://QmdKGjEDuE5Z1hYi9XbzjKKcrQjH4gua9XzWfts9GTFbM2,
,84,Grifter #083,Grifters,ipfs://QmVATs3n8oRfoqsiz3yt9QcSdDdZ2RKvHjJT9Ds4e9XVKF,ipfs://QmcABw4qCt7WHMGvegCmksk6cdNddMo3bfTBdadHrHrVSQ,
,85,Grifter #084,Grifters,ipfs://QmazcWwtWsn1dJ6UQV9BEYdg4CtNCFEVUSwfgusL8EWemS,ipfs://QmYDC7TfCyhAM4YNK6bLhhWLBvL6gYqTkh9ZnER4icz3kA,
,86,Grifter #085,Grifters,ipfs://QmZbJgC38SicVDBVvGLBkKBY1zcdMRwS9dTK7H5gxWWZXZ,ipfs://QmeZMRufke6GtM6gL2WLt9Q5BHfsFCrQYZCkuUTeSCRqM6,
,87,Grifter #086,Grifters,ipfs://Qmd6Gc7w7jcbWCjEfWSQstN6GMpk9FVeNzw4wjKPffQ4g9,ipfs://QmTPXGtgZhwtDW492C2TQ5Rz8UQuQF6ZdCXFGMgvrPzdwv,
,88,Grifter #087,Grifters,ipfs://QmQoT4N9sWAvCVxuhFfJ4ZCgwqEYZk34ZhJe2zC9fSgRNU,ipfs://QmQMDZbMmNB8RUdpEx9cUGTodgdhKZjjWKExWH5aGVKqis,
,89,Grifter #088,Grifters,ipfs://QmYDQeTuqQfn5hu44U2dRMzYh93SkARY6d8QdZXPSU9PvA,ipfs://QmS4rnEprcSa7etcpfpdYNTt3Ku139YRbwfhpUAtfsAtpF,
,90,Grifter #089,Grifters,ipfs://QmcSGwbUPCdP4GrQJsMPuySiwwKQ9zoAMkn1pdpnKEe9tW,ipfs://QmTXBpn8jAJUL4Y3Z1LjcxvguaXPW2FdiqTegoCpvVs9nX,
,91,Grifter #090,Grifters,ipfs://QmckXVXv5FutFKCEegBESQjtW2vjuvptZRygxHLtFey5mg,ipfs://QmTVnmbe9hy55BrAhRmgL9x49KzHW7fqkpdiVxjdXkwiUA,
,92,Grifter #091,Grifters,ipfs://QmNyi2KXxFXTJDtXC9uya5X8LHwHNqdX3ayYjzAxWmnVKr,ipfs://QmTQumQWvYNVgJEfoPqHUD74vfV9LVt8gMaqvidJKqNY2j,
,93,Grifter #092,Grifters,ipfs://QmbqRa2A7uVZu8cZzEE2Fmd1hZTF45zPhpxLSHmruZzeet,ipfs://Qmb8riEZxjASaGnKogF7LyXo3zmfRRFR4tqWoDdRVXwt9N,
,94,Grifter #093,Grifters,ipfs://QmRiE69WmampFn8KhvwU1djDU9CsDgL9ipEzrf1aUDMxqS,ipfs://QmXKR428dZJFwRf35xDxw9GEW4dJWktDJeG2fat7yz6ayz,
,95,Grifter #094,Grifters,ipfs://QmVvybnTP1YcNHMjfotrSMAJ6vgV1VDKHPa7hYKWSNY7HX,ipfs://Qma8Zt1gmd671RC5p6cgsNGe8trJjFFc6jT73nRpHXfVw4,
,96,Grifter #095,Grifters,ipfs://QmQQhMJ2ykNE65AARghQzkqPBqaPiFN9hSLqwwY97mqUFv,ipfs://QmVA97Qhn6V2QoiKr8PNFrKKkDAdWPKK92hAWTgDE81mTp,
,97,Grifter #096,Grifters,ipfs://QmdxuZabc3kiBDDQrGXkibT2cTLSKeMVcGEYnb9KFUND4b,ipfs://QmNTF4jQECNoVpCZY1ZM6TpQ2ubZ2JxoASBDqGbZQpQ1mc,
,98,Grifter #097,Grifters,ipfs://QmXNoWK9WSpCzS1tK2WmmdpbfqCMB1V5LHiHWXsLsYrSbh,ipfs://QmS1VDF4WFZCKtCRyTnwhYFMmLfipFNefv1khNWjm239sN,
,99,Grifter #098,Grifters,ipfs://QmR5dauHPQkhYv4QF5BnZtQhn2RAd3y2oyu4LSQ5kjcVuG,ipfs://QmetYS6DtBsJi55QYDtLUD269BX9yV6XfSw4BYuPcaJx3J,
